Конкурент,Блок анализа,Что обнаружено,Конкретные примеры / формулировки,Контентный вывод,Что можно взять для ФРК,Что не брать / риск
GLORY SEASON,Главная и первый экран,"Главная работает как fashion-витрина и дроп-пространство. Текста мало, смысл передаётся через названия коллекций, визуал и кнопку «Купить».",«КАТАЛОГ»; «КОЛЛЕКЦИИ»; «KOZHAN CAPSULE»; «RUSSIA CAPSULE»; «MYSTERY BOXES»; «FLUFFY BOMBER»; «3 РАСЦВЕТКИ»; «Купить».,"Бренд продаёт не объяснение, а атмосферу и чувство участия в дропе.",Взять идею коллекций как главных входов и визуально-эмоциональную подачу.,Не брать почти полное отсутствие объясняющего текста: для гос/культурного проекта смыслы должны быть понятнее.
,Шапка сайта,"Шапка минимальная: каталог, коллекции, корзина. Сайт выглядит как fashion-дроп.",«КАТАЛОГ»; «КОЛЛЕКЦИИ»; корзина.,"Минимальная навигация помогает fashion-ощущению, но слабее поддерживает сложный e-commerce с блогом, доставкой, лояльностью.",Взять чистоту шапки и не перегружать первый уровень.,Не скрывать важные сервисные разделы слишком глубоко.
,Позиционирование и идея бренда,"Позиционирование почти не объясняется рационально. Бренд строится вокруг названия, коллекций, коллабораций и визуального вайба.",«СЕЗОН СЛАВЫ»; «RUSSIA CAPSULE»; «MULTIVERSE»; «СЕЗОН СЛАВЫ х ТРИ ДНЯ ДОЖДЯ».,"Сильная fashion-идентичность, но без вводного текста новичку сложно понять идею бренда.","Использовать дроповую/коллекционную механику, но добавить короткие понятные описания смысла каждой коллекции.",Не оставлять культурные смыслы только в визуале и названиях.
,Tone of voice,"Тон минималистичный, молодежный, fashion-oriented. Много английских названий, капсульности, дроповой лексики. В подписке стиль разговорный.",«Переходи в наш Telegram-канал»; «Новости о новинках бренда»; «Специальные предложения»; «Идеи для стайлинга».,"Тон живой и современный, но слишком молодежный для широкой гос-аудитории.",Взять простоту и отсутствие официоза.,"Не брать разговорное «переходи», если нужен более сдержанный уровень."
,Подача культурной / патриотической темы,"Россия подается как название капсулы/эстетики, без прямого патриотического текста. Это fashion-идентичность, а не культурное объяснение.",«RUSSIA CAPSULE»; «GLORY SEASON / РОССИЯ MULTIVERSE P.1».,"Подход современный и не пафосный, но культурный смысл не раскрыт.",Взять ненавязчивое использование темы России через коллекции и визуал.,"Не оставлять тему России только в названии, иначе проект потеряет глубину."
,Структура главной страницы,"Главная состоит из коллекций/дропов, товаров и подписки на Telegram. Отдельного брендового блока почти нет.","«KOZHAN CAPSULE»; «RUSSIA CAPSULE»; «MYSTERY BOXES»; «FLUFFY BOMBER»; подписка в Telegram с «новинками», «спецпредложениями», «идеями для стайлинга».","Страница хорошо продаёт актуальные дропы, но не объясняет бренд.","Использовать блок с подпиской/новостями как контентный канал, но главной нужен блок «О проекте».",Не выстраивать главную только из дропов.
,Каталог и названия разделов,Каталог разделён по типам одежды и коллекциям. Названия коллекций создают образ бренда.,«Верхняя одежда»; «Худи и толстовки»; «Футболки»; «Лонгсливы»; «Сумки»; «Брюки»; «Аксессуары»; «DARK PRINCESS COLLECTION»; «KOZHAN CAPSULE»; «RUSSIA CAPSULE»; «ЗИМА 2025»; «MULTIVERSE».,Каталог сочетает техническую навигацию и эмоциональные collection-entry.,ФРК: понятные категории + смысловые коллекции.,"Не делать все названия англоязычными/нишевыми, если аудитория широкая."
,Карточка товара,"Товарная подача минимальная: название, фото, цена, покупка. Смысл и статус создаются через коллекцию, визуал и ограниченность.",«FLUFFY BOMBER»; «3 РАСЦВЕТКИ»; «MYSTERY BOXES»; «Купить».,"Карточка выглядит современно, но мало помогает понять материал, посадку, уход, смысл принта.",ФРК нужен более информативный формат: короткое описание + характеристики + смысл коллекции + сценарий.,Не сводить карточку к одному названию и кнопке.
,Коллекции,Коллекции — главный контентный инструмент. Они называются как самостоятельные fashion-истории и задают атмосферу.,«KOZHAN CAPSULE»; «RUSSIA CAPSULE»; «DARK PRINCESS COLLECTION»; «MULTIVERSE»; «СЕЗОН СЛАВЫ х ТРИ ДНЯ ДОЖДЯ».,Хорошо создаётся ощущение дропа и комьюнити.,"Развивать коллекции как культурные капсулы, но с понятными описаниями.",Не уходить в слишком абстрактные названия без объяснения.
,Подарочные сценарии,"Подарочный сценарий выражен слабо. Есть mystery boxes, которые работают как игровой формат покупки.",«MYSTERY BOXES».,"Это не классический подарок, а формат сюрприза/дропа.","Можно подумать о подарочных наборах или лимитированных коробках, но основной gift-раздел должен быть понятным.",Не заменять подарочную навигацию только mystery-механикой.
,Магазины и офлайн-точки,"Контакты и адрес магазина размещены в футере, есть режим работы. Офлайн описан функционально, без отдельной истории пространства.","«Фактический адрес… Большая Новодмитровская ул., 36, стр. 2… Режим работы магазина: с 12:00 до 21:00 Мск».","Офлайн есть как справка, но не как брендовый опыт.","Усилить страницу магазинов: атмосфера, локация, ассортимент, зачем приходить.",Не ограничиваться адресом и режимом работы.
,Футер,"Футер содержит юридические документы, помощь, возврат, оплату, доставку, FAQ, соцсети, контакты и полный список категорий/коллекций.",«Политика конфиденциальности»; «Контакты и иная информация»; «Договор оферты»; «О нас»; «Вакансии»; «Условия возврата товара»; «Способы оплаты»; «Доставка»; «вопрос / ответ».,Футер компенсирует минимальную шапку: туда вынесена вся сервисная информация.,Использовать футер как расширенную карту сайта.,"Не прятать слишком важные вещи только в футер: доставку, подарки и магазины."
,Сервисные страницы и микротексты,"Сервисные тексты есть: оплата, доставка, возврат, FAQ. Микротексты в форме заказа краткие и утилитарные.","Поля: «ФИО», «Ваш E-mail», «Ваш телефон», «Любая соц. сеть», «Промокод»; «Оплата картой и частями»; «Оплата международной картой»; cookie: «Согласен».","Тон простой, местами слишком технический.","Сделать микротексты аккуратнее и человечнее, особенно для пустых состояний и оформления заказа.","Не оставлять технические поля без пояснений, если есть сложные сценарии."
Третьяковская галерея,Главная и первый экран,"Главная построена как музейный e-commerce: каталог, тематические баннеры, новинки, идеи подарков, коллекции. Главный смысл — официальный магазин культурной институции.","«Официальный интернет-магазин»; баннеры «Яркие сумки», «Матисс и Пикассо», «МОСКВА»; «Новинки».","Товар сразу получает культурный контекст через художников, выставки, городские темы.","Использовать подход: раскрывать смысл через коллекции, названия, произведения/символы/регионы.",Не делать страницу сухим каталогом без редакционного блока.
,Шапка сайта,"Шапка и меню дают большую категорийную структуру: книги, сувениры, одежда, украшения, дом, канцелярия, детям, репродукции, идеи подарков, коллекции.",«Книги»; «Пазлы и сувениры»; «Одежда и аксессуары»; «Украшения»; «Чай и сладости»; «Для дома»; «Канцелярия»; «Детям»; «Идеи подарков»; «Коллекции».,"Навигация строится не только по одежде, а по культурно-подарочным сценариям.","В меню ФРК включить не только категории одежды, но и «Идеи подарков», «Коллекции», «Для дома/сувениры», «Детям».","Не делать каталог слишком fashion-only, если ассортимент шире."
,Позиционирование и идея бренда,"Позиционирование не проговаривается длинным текстом: статус бренда считывается через «официальный интернет-магазин», ассортимент, имена художников и связь с галереей.","«Официальный интернет-магазин»; товары: «Анри Матисс», «Николай Рерих», «Пабло Пикассо», «Казимир Малевич», «Кандинский».",Идея бренда встроена в товарные названия и культурные ссылки.,"Подтверждать культурный статус не длинной миссией, а коллекциями, именами, символами, регионами, событиями.","Не писать длинный манифест там, где смысл можно раскрыть через подборки и коллекции."
,Tone of voice,"Тон сдержанный, нейтральный, музейный. В карточках и каталоге почти нет эмоционального давления.",«Обложка для карты. Анри Матисс “Голубая ваза с цветами”»; «Скетчбук. Николай Рерих “Песнь Сольвейг”»; «Брелок. Пабло Пикассо “Девочка на шаре”».,"Тон спокойный, культурный, без пафоса и рекламной агрессии.",Хорошая опора по сдержанности.,Риск — сделать слишком сухо и музейно; ФРК нужен чуть более живой lifestyle-слой.
,Подача культурной / патриотической темы,"Культура подается через конкретные произведения, художников, музейный контекст, городские и выставочные коллекции. Нет прямых лозунгов.",«Матисс и Пикассо»; «МОСКВА»; «Кандинский. Композиция № 7»; «Казимир Малевич “На сенокосе”».,Культурный контент может быть сильным без громких заявлений.,"Работать через конкретику: символ, автор, регион, тема, история предмета.","Не уходить в обобщённые слова «культура», «наследие», «Россия» без конкретного наполнения."
,Структура главной страницы,"Главная сочетает баннеры, категории, новинки, товарные подборки, скидочные/лояльностные сообщения.",«Яркие сумки»; «Матисс и Пикассо»; «МОСКВА»; «Новинки»; «Стань Другом Третьяковской галереи и получай скидки!».,Главная соединяет культурную атмосферу и коммерческий сценарий.,"Главная ФРК: идея проекта, коллекции, новинки, подарки, блог/истории, магазины, лояльность.",Не перегружать только товарной сеткой.
,Каталог и названия разделов,"Каталог развитый, с категориями для разных сценариев: книги, дом, одежда, канцелярия, дети, подарки, коллекции.",«Идеи подарков»; «Коллекции»; «Одежда и аксессуары»; «Для дома»; «Детям»; «Чай и сладости»; «Репродукции».,"Каталог помогает выбирать не только по товару, но и по ситуации.","Структура ФРК: по типу товара, коллекции, подарку, аудитории.","Не делать только одежный каталог, если ассортимент включает сувениры и дом."
,Карточка товара,На списке товаров карточки получают культурный смысл через название произведения/автора и категорию.,«Обложка для карты. Анри Матисс “Голубая ваза с цветами”»; «Скетчбук. Николай Рерих “Песнь Сольвейг”»; «Подушка-подкова для путешествий “Кандинский. Композиция № 7”».,Даже без длинного описания название уже несет историю и культурный якорь.,Давать товарам точные смысловые названия: символ/коллекция/источник вдохновения.,Не использовать абстрактные названия вроде «Футболка Россия» без уточнения идеи.
,Коллекции,"Коллекции и подборки работают как культурные входы: по художнику, теме, выставке, городу, объекту.",«Матисс и Пикассо»; «МОСКВА»; «Коллекция вееров»; «Ажурные воротники».,"Коллекция может быть культурно-смысловой, а не только сезонной.","Коллекции ФРК по регионам, символам, праздникам, культурным темам, экспозициям, дизайнерам.",Не делать коллекции только маркетинговыми «новая коллекция/распродажа».
,Подарочные сценарии,"Подарочный сценарий явно вынесен в каталог. Ассортимент сам по себе подарочный: украшения, чай, сладости, дом, открытки, книги.",«Идеи подарков»; «Чай и сладости»; «Для дома»; «Украшения»; «Канцелярия»; «Детям».,Gift-сценарий органично встроен в структуру магазина.,Подарочные подборки должны быть полноценной навигационной логикой.,Не ограничиваться подарочными картами.
,Магазины и офлайн-точки,"В футере и меню есть контакты, доставка, о магазине. Офлайн-связь с галереей считывается через бренд.",«Контакты»; «О магазине»; «Сайт Третьяковской галереи»; телефон и email.,Магазин воспринимается как продолжение институции.,Показать связь интернет-магазина с физическим Универмагом и Национальным центром.,Не отделять интернет-магазин от офлайн-пространства бренда.
,Футер,"Футер понятный и структурный: покупателям, каталог товаров, оплата, ссылка на основной сайт галереи.","«Покупателям»: «Контакты», «Доставка и оплата», «Возврат товара», «О магазине», «Договор-оферта». «Каталог товаров»: «Книги», «Пазлы и сувениры», «Одежда и аксессуары», «Коллекции».",Футер помогает вернуться к основным сценариям и подтверждает официальный статус.,"В футер ФРК связать интернет-магазин с НЦ «Россия», сервисом, каталогом, блогом и соцсетями.",Не забыть ссылку на основной институциональный проект/бренд.
,Сервисные страницы и микротексты,"Сервисные разделы представлены стандартно: доставка, возврат, оферта, оплата. На главной простые CTA.",«В корзину»; «Купить»; «Доставка и оплата»; «Возврат товара»; «Мы принимаем к оплате».,"Тон нейтральный и понятный, без эмоциональных микротекстов.","Взять ясность, добавить более брендовые пустые состояния и подсказки.",Не делать сервисные тексты слишком безличными.
Зенит,Главная и первый экран,"Главная строится вокруг официальности, клуба и каталога. Сразу видны язык, город, телефон, помощь, личный кабинет, избранное, новости и акции.",«Официальный интернет магазин ФК Зенит»; «Каталог товаров»; «Новости и акции»; «Статус заказа»; «Зенит — чемпион!»; «Форма»; «Юбилейная коллекция».,"Сильная идентичность сообщества: пользователь покупает не просто товар, а принадлежность к клубу.",Взять логику официального магазина и эмоциональной принадлежности к большему проекту.,Не копировать спортивную эмоциональность напрямую.
,Шапка сайта,"Шапка максимально e-commerce и сервисная: язык, валюта, город, телефон, помощь, личный кабинет, избранное, новости, статус заказа, каталог.",«RU/EN»; «₽ $ €»; «Санкт-Петербург»; «Помощь»; «Личный кабинет»; «Избранное»; «Новости и акции»; «Статус заказа».,Шапка закрывает покупательские вопросы и международность/туристический сценарий.,"Подумать о языке/городе/валюте, если проект рассчитан на туристов и гостей.","Не перегружать шапку, если функции можно упростить."
,Позиционирование и идея бренда,"Позиционирование задаётся через официальный статус клуба, чемпионские и юбилейные коллекции, привязку к событию и болельщицкой идентичности.",«Официальный интернет магазин ФК Зенит»; «Зенит — чемпион!»; «Зенит-100 лет»; «Чемпионская коллекция»; «Юбилейная коллекция».,Смысл очевиден через клубный бренд и события.,"Использовать событийную логику: коллекции к важным датам, выставкам, федеральным событиям.",Не полагаться только на брендовый статус: идею «Универмага Россия» нужно объяснить.
,Tone of voice,"Тон массовый, прямой, эмоциональный, но функциональный. Короткие яркие названия коллекций и событий.",«Зенит — чемпион!»; «Чемпионская коллекция»; «Новости и акции»; «1 товар добавлен»; «Добавлено в избранное».,"Тон подходит фанатскому магазину, потому что эмоция уже есть в аудитории.",Взять понятность и простые CTA.,Не брать фанатский накал и спортивные лозунги.
,Подача культурной / патриотической темы,"Тема идентичности раскрывается через клуб, город, чемпионство, историю и принадлежность. Это не патриотизм, а сообщество.",«Зенит-100 лет»; «Чемпионская коллекция»; «Форма»; «Санкт-Петербург».,Полезная модель: продавать через принадлежность и событие.,Строить контент через «принадлежность к образу России» и события Национального центра.,Не превращать принадлежность в громкие декларации.
,Структура главной страницы,"Главная и меню сразу выводят ключевые сценарии: форма, чемпионская коллекция, мужское, женское, детское, новости, акции, статус заказа.",«Форма»; «Мужское»; «Женское»; «Детское»; «Товары для школы»; «Игрушки»; «Новости и акции».,"Структура удобна для разных аудиторий: взрослые, дети, фанаты, покупатели подарков.","Разделять аудитории и сценарии: взрослые, дети, подарки, сувениры, коллекции, гости офлайн-пространства.",Не делать универсальный каталог без сегментов.
,Каталог и названия разделов,Каталог сочетает типовые категории одежды и событийные коллекции.,«Мужское»; «Женское»; «Детское»; «Зенит-100 лет»; «Чемпионская коллекция»; «Форма»; «Товары для школы».,Событийные разделы работают как эмоциональные входы.,Сделать разделы по событиям/коллекциям/праздникам/подаркам.,"Не оставлять только «мужское/женское/детское», если есть сильные смысловые линии."
,Карточка товара,"В карточках и списках товар часто маркируется через клубную принадлежность, событие, коллекцию, практический сценарий.",«Форма»; «Чемпионская коллекция»; «Товары для школы»; «Игрушки»; «Головные уборы».,"Покупатель сразу понимает сценарий: матч, подарок фанату, ребёнку, школа, повседневность.","Прописывать сценарии использования: на каждый день, в поездку, в подарок, для ребёнка, как сувенир.",Не описывать карточки только как вещь без сценария.
,Коллекции,"Коллекции привязаны к событию и клубной истории: чемпионство, юбилей, форма.",«Зенит — чемпион!»; «Зенит-100 лет»; «Юбилейная коллекция»; «Чемпионская коллекция».,Коллекция получает эмоциональную ценность через событие.,"Использовать события, выставки, праздники, регионы как поводы для коллекций.",Не делать коллекции без объяснения повода.
,Подарочные сценарии,"Подарочный сценарий не всегда назван напрямую, но встроен через фанатские товары, детское, школьные товары, сувениры.",«Детское»; «Игрушки»; «Товары для школы»; «Аксессуары»; «Новости и акции».,Подарки работают через принадлежность к клубу.,Строить подарки через принадлежность к культуре/России/городу/событию.,"Не забывать отдельные подарочные подборки, иначе сценарий будет скрыт."
,Футер,"На доступных данных видна сильная сервисная логика: помощь, статус заказа, личный кабинет, новости, контакты.",«Помощь»; «Личный кабинет»; «Статус заказа»; «Новости и акции»; «Избранное».,Для спортивного e-commerce сервисные сценарии важны наравне с каталогом.,"Нужен полный сервисный слой: статус заказа, помощь, доставка, возврат, профиль, wishlist.",Не делать футер только с юридическими ссылками.
,Сервисные страницы и микротексты,"Микротексты короткие, функциональные, покупательские.",«Добавлено в избранное»; «1 товар добавлен»; «Статус заказа»; «Помощь»; «Войти».,Хорошие простые системные сообщения без лишнего текста.,Заранее прописать микротексты в едином тоне.,Не оставлять дефолтные системные надписи CMS.
Bosco,Главная и первый экран,"Брендовая подача соединяет спорт, активный образ жизни, семью и эмоциональный lifestyle. На сайте важна история бренда и актуальные коллекции.","«первый российский бренд с международной узнаваемостью»; «стилеобразующий продукт для активного образа жизни»; «модной и комфортной одежде, создающей стиль и настроение для всей семьи».","Bosco продаёт не только одежду, а образ активной жизни и статус бренда.",Взять связку «современный российский бренд + стиль + настроение + семья».,Не писать слишком общие формулы без конкретики коллекций.
,Шапка сайта,"Навигация бренда сочетает коммерцию, коллекции, новости, историю, магазины, программу лояльности и подарочные сертификаты.",«BOSCO ЛЕТО»; «BOSCO ЗИМА»; «Купить мужское»; «Купить женское»; «Новости и события»; «Образы BOSCO»; «История BOSCO»; «Адреса магазинов»; «Программа лояльности»; «Подарочные сертификаты».,"Шапка/навигация работает как брендовая экосистема, а не только каталог.","Предусмотреть не только каталог, но и «Истории/Блог», «Коллекции», «Магазины», «Лояльность», «Подарочные карты».",Не делать навигацию только товарной.
,Позиционирование и идея бренда,"Позиционирование раскрывает российскую узнаваемость, активный образ жизни, спорт, путешествия, эмоции и семейность.","«первый российский бренд с международной узнаваемостью»; «Вечная тяга к познаванию мира, эмоции спорта и активного отдыха…».",Мягкое национальное позиционирование через качество и lifestyle.,"Говорить о современном российском продукте через стиль, культуру, эмоцию, семью, путешествия.",Не делать упор только на государственный статус.
,Tone of voice,"Тон премиальный, уверенный, эмоциональный, но без крика. В новостях много событийности и lifestyle-сюжетов.",«Горы впечатлений!»; «Яркие образы твоего лета»; «Поехали!»; «Большая прогулка»; «В космос вместе с BOSCO».,"Тон живой, но более взрослый и брендовый, чем у молодежных дропов.","Ориентир для баланса: живо, но не сленгово.",Не уходить в рекламные лозунги без содержания.
,Подача культурной / патриотической темы,"Российская тема подается через спорт, события, географию, экспедиции, государственные/общественные инфоповоды и производство.",«Мануфактуры Bosco»; «российские паралимпийцы»; «Роза Хутор»; «Байконур»; «Космос»; «ГУМ-Каток».,"Мягкая событийная патриотичность: не лозунг, а участие в значимых российских сюжетах.","Строить контент через события, регионы, маршруты, выставки, культурные поводы.",Не подменять культурный контекст общими патриотическими словами.
,Структура главной страницы,"Структура бренда: история, актуальные коллекции, образы, новости, магазины, loyalty, подарочные сертификаты.",«Актуальные коллекции»; «Образы BOSCO»; «История BOSCO»; «Новости и события»; «Адреса магазинов».,Сайт работает как брендовая платформа: коллекции + истории + офлайн + новости.,"Связать товары, истории, офлайн-пространства и программу лояльности.",Не делать сайт только магазином без брендового слоя.
,Каталог и названия разделов,"Каталог делится по полу и сезонам, а также через лето/зиму и актуальные коллекции.",«BOSCO ЛЕТО»; «BOSCO ЗИМА»; «Купить мужское»; «Купить женское»; «Актуальные коллекции».,Простая и понятная структура с сезонностью.,"Использовать сезонность и коллекции, особенно если мерч обновляется под события.",Не увлекаться слишком общими категориями без смысла.
,Карточка товара,"На уровне новостей коллекции описываются через состав товаров и сценарии: спорт, сезон, технологичные ткани, аксессуары.","«Теннисная капсула включает спортивные костюмы, поло, футболки, теннисные шорты, хлопковые юбки и платья… будет дополнена игровой формой из технологичных тканей, а также аксессуарами».","Контент даёт понимание ассортимента и сценария, не только эмоцию.","Описывать состав коллекции и сценарии: прогулка, подарок, путешествие, повседневный образ.",Не писать коллекции только красивыми абстракциями.
,Коллекции,"Коллекции строятся вокруг спорта, сезонов, событий, коллабораций и географических тем.",«Bosco Team»; «Bosco Tennis Club x SVET»; «BOSCO x Динамо»; «Космос»; «Ямал»; «Гольф».,"Коллекции получают событие и образ, это помогает писать новости и статьи.","Создавать коллекции вокруг регионов, культурных тем, событий НЦ, коллабораций с художниками/дизайнерами.",Не делать бессодержательные названия коллекций.
,Подарочные сценарии,Подарочный сценарий есть как отдельная механика — подарочные сертификаты. Сезонные новости и акции работают как поводы для покупки.,«Подарочные сертификаты»; «BOSCO дарит новогодние елки»; «предновогодняя акция».,Подарки встроены в сезонные инфоповоды.,"Развивать подарочные сценарии под праздники, путешествия, офлайн-посещение, корпоративные подарки.",Не оставлять подарки только как сертификат.
,Магазины и офлайн-точки,Магазины — важная часть бренда: в новостях появляются флагманские магазины и события в офлайне.,«В Сочи открылся новый флагманский магазин»; «В Bosco Авиапарк прошла встреча…»; «Адреса магазинов».,Офлайн используется как повод для новостей и усиления бренда.,"Делать магазины частью контента: открытие, события, ассортимент, маршруты, фото пространства.",Не делать магазины только справочником.
,Футер,"Навигация включает брендовые и сервисные разделы: история, новости, образы, магазины, loyalty, подарочные сертификаты, прессу.",«Новости и события»; «Образы BOSCO»; «История BOSCO»; «Адреса магазинов»; «Программа лояльности»; «Подарочные сертификаты»; «Для прессы».,Футер/нижняя навигация показывает бренд как систему.,"Добавить не только клиентские сервисные ссылки, но и прессу/контакты/о проекте при необходимости.",Не делать футер только ecommerce-функцией.
,Сервисные страницы и микротексты,В доступных данных видны loyalty и подарочные сертификаты как важные сервисные разделы.,«Программа лояльности»; «Подарочные сертификаты».,Сервис поддерживает удержание и gift-сценарий.,"Полноценно описать лояльность, подарочные карты, доставку, возврат и статус заказа.",Не оставлять loyalty без объяснения выгоды.
